timestamp,topic,payload
2024-06-17 10:14:51,room/temperature,29.30
2024-06-17 10:14:51,room/humidity,78.00
2024-06-17 10:14:53,room/humidity,77.00
2024-06-17 10:14:53,room/temperature,29.30
2024-06-17 10:14:55,room/humidity,77.00
2024-06-17 10:14:55,room/temperature,29.30
2024-06-17 10:14:57,room/humidity,78.00
2024-06-17 10:14:57,room/temperature,29.30
2024-06-17 10:14:59,room/humidity,78.00
2024-06-17 10:14:59,room/temperature,29.30
2024-06-17 10:15:01,room/humidity,78.00
2024-06-17 10:15:01,room/temperature,29.30
2024-06-17 10:15:03,room/humidity,78.00
2024-06-17 10:15:03,room/temperature,29.30
2024-06-17 10:15:05,room/humidity,78.00
2024-06-17 10:15:05,room/temperature,29.30
2024-06-17 10:15:07,room/humidity,78.00
2024-06-17 10:15:07,room/temperature,29.30
2024-06-17 10:15:09,room/humidity,78.00
2024-06-17 10:15:09,room/temperature,29.30
2024-06-17 10:15:11,room/humidity,78.00
2024-06-17 10:15:11,room/temperature,29.30
2024-06-17 10:15:13,room/humidity,78.00
2024-06-17 10:15:13,room/temperature,29.30
2024-06-17 10:15:15,room/humidity,78.00
2024-06-17 10:15:15,room/temperature,29.30
2024-06-17 10:15:17,room/humidity,78.00
2024-06-17 10:15:17,room/temperature,29.30
2024-06-17 10:15:19,room/humidity,78.00
2024-06-17 10:15:19,room/temperature,29.30
2024-06-17 10:15:21,room/humidity,78.00
2024-06-17 10:15:21,room/temperature,29.30
2024-06-17 10:15:25,room/temperature,29.30
2024-06-17 10:15:25,room/humidity,78.00
2024-06-17 10:15:25,room/humidity,79.00
2024-06-17 10:15:25,room/temperature,29.30
2024-06-17 10:15:27,room/humidity,79.00
2024-06-17 10:15:27,room/temperature,29.30
2024-06-17 10:15:29,room/humidity,79.00
2024-06-17 10:15:29,room/temperature,29.30
2024-06-17 10:15:31,room/humidity,79.00
2024-06-17 10:15:31,room/temperature,29.30
2024-06-17 10:15:33,room/humidity,79.00
2024-06-17 10:15:33,room/temperature,29.30
2024-06-17 10:15:35,room/humidity,79.00
2024-06-17 10:15:35,room/temperature,29.30
2024-06-17 10:15:37,room/humidity,79.00
2024-06-17 10:15:37,room/temperature,29.30
2024-06-17 10:15:39,room/humidity,79.00
2024-06-17 10:15:40,room/temperature,29.30
2024-06-17 10:15:41,room/humidity,79.00
2024-06-17 10:15:42,room/temperature,29.30
2024-06-17 10:15:43,room/humidity,79.00
2024-06-17 10:15:44,room/temperature,29.30
2024-06-17 10:15:45,room/humidity,79.00
2024-06-17 10:15:46,room/temperature,29.30
2024-06-17 10:15:47,room/humidity,79.00
2024-06-17 10:15:48,room/temperature,29.30
2024-06-17 10:15:49,room/humidity,79.00
2024-06-17 10:15:50,room/temperature,29.30
2024-06-17 10:15:51,room/humidity,79.00
2024-06-17 10:15:52,room/temperature,29.30
2024-06-17 10:15:53,room/humidity,79.00
2024-06-17 10:15:54,room/temperature,29.30
